lr,entropy_coef,n_steps,n_epochs,gamma,clip_eps,normalize_rewards,wins,win_rate_pct,rank,episodes
0.003,0.0,256,2,0.99,0.3,False,774,25.80,2,3000
0.0003,0.0,512,10,0.95,0.1,True,773,25.77,2,3000
0.001,0.01,256,6,0.99,0.2,True,772,25.73,2,3000
0.0001,0.001,1024,10,0.99,0.2,False,772,25.73,2,3000
0.0003,0.001,512,4,0.95,0.3,True,771,25.70,2,3000
0.0003,0.01,128,10,0.95,0.3,False,769,25.63,2,3000
0.0001,0.01,512,10,0.99,0.2,False,768,25.60,2,3000
0.001,0.01,256,4,0.99,0.1,False,768,25.60,2,3000
0.003,0.0,256,10,0.95,0.3,True,768,25.60,2,3000
0.001,0.0,1024,2,0.99,0.3,True,768,25.60,2,3000
0.0001,0.01,512,10,0.95,0.3,False,767,25.57,2,3000
0.003,0.0,256,2,0.99,0.2,False,767,25.57,2,3000
0.003,0.01,512,4,0.95,0.3,True,767,25.57,2,3000
0.0003,0.01,128,10,0.95,0.2,True,765,25.50,2,3000
0.003,0.001,128,2,0.95,0.15,False,765,25.50,2,3000
0.0003,0.001,512,4,0.99,0.1,True,765,25.50,2,3000
0.001,0.01,256,4,0.95,0.15,True,764,25.47,2,3000
0.0003,0.0,512,6,0.99,0.2,False,763,25.43,2,3000
0.0003,0.001,512,4,0.99,0.15,True,763,25.43,2,3000
0.0001,0.01,256,2,0.99,0.15,False,763,25.43,2,3000
0.0001,0.001,1024,10,0.95,0.3,True,762,25.40,2,3000
0.0003,0.01,128,10,0.95,0.2,False,756,25.20,2,3000
0.001,0.01,256,6,0.95,0.3,True,755,25.17,2,3000
0.001,0.001,512,6,0.95,0.3,True,755,25.17,2,3000
0.0003,0.0,512,10,0.99,0.15,True,755,25.17,2,3000
0.001,0.001,128,2,0.99,0.1,True,752,25.07,2,3000
0.003,0.001,128,10,0.95,0.1,False,751,25.03,2,3000
0.001,0.001,256,2,0.99,0.2,True,750,25.00,2,3000
0.0003,0.0,512,10,0.95,0.3,False,750,25.00,2,3000
0.001,0.0,128,6,0.99,0.1,False,747,24.90,2,3000
0.003,0.0,256,2,0.99,0.3,True,746,24.87,2,3000
0.0001,0.01,256,2,0.95,0.1,False,746,24.87,2,3000
0.001,0.01,256,6,0.99,0.1,True,744,24.80,2,3000
0.003,0.001,128,2,0.99,0.2,True,744,24.80,2,3000
0.001,0.01,256,6,0.99,0.1,False,742,24.73,2,3000
0.0001,0.01,512,10,0.99,0.15,True,742,24.73,2,3000
0.001,0.001,256,2,0.99,0.15,True,738,24.60,2,3000
0.0001,0.01,512,10,0.95,0.15,True,738,24.60,2,3000
0.001,0.01,256,4,0.95,0.1,False,738,24.60,2,3000
0.001,0.0,1024,2,0.95,0.15,True,738,24.60,2,3000
0.0001,0.01,512,10,0.99,0.3,True,736,24.53,2,3000
0.003,0.001,128,2,0.95,0.3,False,736,24.53,2,3000
0.0001,0.01,512,10,0.95,0.1,True,735,24.50,2,3000
0.0003,0.01,128,10,0.95,0.15,False,734,24.47,2,3000
0.001,0.01,256,4,0.99,0.2,False,733,24.43,2,3000
0.0003,0.001,512,4,0.99,0.15,False,731,24.37,2,3000
0.003,0.01,512,4,0.99,0.2,False,731,24.37,2,3000
0.003,0.001,128,10,0.99,0.2,True,729,24.30,2,3000
0.003,0.0,256,10,0.95,0.2,True,726,24.20,2,3000
0.0001,0.001,1024,10,0.99,0.3,False,725,24.17,2,3000
0.0003,0.001,512,4,0.99,0.3,True,725,24.17,2,3000
0.0003,0.01,128,10,0.95,0.15,True,724,24.13,2,3000
0.0003,0.001,512,4,0.95,0.15,True,724,24.13,2,3000
0.001,0.0,1024,2,0.95,0.2,True,723,24.10,2,3000
0.0003,0.01,128,10,0.99,0.3,True,721,24.03,2,3000
0.003,0.0,256,10,0.99,0.3,False,720,24.00,2,3000
0.0001,0.01,512,10,0.95,0.3,True,719,23.97,2,3000
0.0003,0.0,512,10,0.99,0.2,False,716,23.87,2,3000
0.001,0.01,256,6,0.95,0.3,False,715,23.83,2,3000
0.003,0.001,128,10,0.95,0.1,True,715,23.83,2,3000
0.0003,0.01,128,10,0.99,0.15,True,714,23.80,2,3000
0.0003,0.001,512,4,0.99,0.2,True,714,23.80,2,3000
0.0003,0.0,512,6,0.95,0.3,True,712,23.73,2,3000
0.0001,0.01,512,10,0.99,0.3,False,711,23.70,2,3000
0.001,0.0,1024,2,0.99,0.3,False,710,23.67,2,3000
0.0003,0.001,512,4,0.95,0.2,True,709,23.63,2,3000
0.001,0.001,256,2,0.99,0.3,True,708,23.60,2,3000
0.0003,0.01,512,10,0.99,0.15,False,708,23.60,2,3000
