lr,entropy_coef,n_steps,n_epochs,wins,win_rate_pct,rank,episodes
0.0003,0.05,512,6,707,23.57,2,3000
0.001,0.05,512,2,707,23.57,2,3000
0.003,0.001,512,4,706,23.53,2,3000
0.001,0.01,128,10,703,23.43,2,3000
0.003,0.01,1024,4,702,23.40,2,3000
0.001,0.001,1024,2,700,23.33,2,3000
0.0003,0.0,256,2,699,23.30,2,3000
0.001,0.05,256,4,699,23.30,2,3000
0.0003,0.05,256,2,695,23.17,2,3000
0.003,0.0,512,4,694,23.13,2,3000
0.003,0.05,128,6,693,23.10,2,3000
0.0001,0.001,512,2,692,23.07,2,3000
0.001,0.05,1024,6,691,23.03,2,3000
0.0001,0.001,1024,6,688,22.93,2,3000
0.0003,0.01,128,4,687,22.90,2,3000
0.003,0.0,1024,4,682,22.73,2,3000
0.0001,0.05,1024,10,680,22.67,2,3000
0.001,0.01,1024,6,680,22.67,2,3000
0.0003,0.0,1024,6,678,22.60,2,3000
0.001,0.05,128,10,677,22.57,2,3000
0.003,0.0,512,6,676,22.53,2,3000
0.001,0.0,512,10,674,22.47,2,3000
0.0003,0.05,256,10,673,22.43,2,3000
0.003,0.05,256,10,668,22.27,3,3000
0.0003,0.0,512,2,662,22.07,3,3000
0.003,0.001,128,6,662,22.07,3,3000
0.001,0.05,256,6,659,21.97,3,3000
0.001,0.1,256,4,659,21.97,3,3000
0.0001,0.05,512,6,654,21.80,3,3000
0.0003,0.05,512,2,654,21.80,3,3000
0.001,0.001,256,6,654,21.80,3,3000
0.0003,0.1,128,10,653,21.77,3,3000
0.0001,0.001,128,6,649,21.63,3,3000
0.0003,0.05,128,10,649,21.63,3,3000
0.0003,0.001,256,4,648,21.60,3,3000
0.0003,0.1,512,10,648,21.60,3,3000
0.001,0.01,512,10,648,21.60,3,3000
0.003,0.0,256,4,648,21.60,3,3000
0.0003,0.05,128,6,645,21.50,3,3000
0.0003,0.001,1024,4,644,21.47,3,3000
0.0003,0.05,1024,10,644,21.47,3,3000
0.001,0.1,128,6,643,21.43,3,3000
0.0003,0.05,512,4,642,21.40,3,3000
0.001,0.1,512,2,642,21.40,3,3000
0.001,0.05,256,10,641,21.37,3,3000
0.0001,0.05,256,4,639,21.30,3,3000
0.0003,0.1,256,6,639,21.30,3,3000
0.003,0.01,512,2,639,21.30,3,3000
0.0003,0.0,1024,4,638,21.27,3,3000
0.0003,0.05,512,10,638,21.27,3,3000
0.0001,0.05,1024,6,634,21.13,3,3000
0.001,0.01,512,6,631,21.03,3,3000
0.003,0.01,128,6,631,21.03,3,3000
0.0003,0.01,256,4,630,21.00,3,3000
0.001,0.1,128,2,630,21.00,3,3000
0.0001,0.1,128,10,629,20.97,3,3000
0.001,0.1,128,4,629,20.97,3,3000
0.003,0.0,128,4,629,20.97,3,3000
0.0003,0.0,1024,2,628,20.93,3,3000
0.001,0.0,256,4,628,20.93,3,3000
0.0001,0.0,1024,6,626,20.87,3,3000
0.0003,0.05,1024,6,625,20.83,3,3000
0.003,0.0,1024,6,624,20.80,3,3000
0.003,0.01,256,2,618,20.60,3,3000
0.003,0.05,256,6,617,20.57,3,3000
0.0003,0.1,256,10,613,20.43,3,3000
0.003,0.1,128,4,613,20.43,3,3000
0.0001,0.001,512,4,612,20.40,3,3000
0.0001,0.01,1024,6,612,20.40,4,3000
0.001,0.001,128,10,612,20.40,3,3000
0.003,0.001,512,2,612,20.40,3,3000
