update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
127,improve,-0.0021,0.0285,0.0075,0.0122
128,improve,-0.0011,0.0045,0.0083,0.0011
129,buy,0.0193,0.194,0.385,0.1159
130,improve,0.0098,0.1547,0.0128,0.0871
131,improve,-0.0004,0.009,0.0134,0.0041
132,buy,-0.0465,0.1565,0.3676,0.0314
133,improve,-0.0007,0.2465,0.0121,0.1226
134,improve,-0.0003,0.0145,0.0079,0.0069
135,improve,0.0655,0.031,0.0069,0.081
136,improve,0.0106,0.2016,0.0049,0.1114
137,buy,0.0219,0.1129,0.4042,0.0779
138,improve,-0.0016,0.0788,0.0119,0.0378
139,buy,-0.0713,0.2901,0.3633,0.0734
140,improve,-0.0006,0.0216,0.0147,0.0102
141,improve,-0.0362,0.0607,0.0112,-0.0059
142,buy,0.0131,0.1256,0.3668,0.0756
143,improve,-0.0082,0.2481,0.0141,0.1159
144,improve,-0.0095,0.0063,0.0087,-0.0064
145,buy,0.0046,0.1209,0.4386,0.0646
146,improve,0.0629,0.0903,0.0085,0.1081
147,improve,0.0524,0.0267,0.0072,0.0657
148,buy,-0.0428,0.0967,0.4119,0.0052
149,improve,-0.0001,0.1358,0.0094,0.0678
150,buy,-0.0052,0.2482,0.4068,0.1185
151,improve,0.0016,0.0293,0.0038,0.0162
152,buy,-0.0103,0.0814,0.3845,0.03
153,improve,-0.0063,0.0383,0.009,0.0128
154,improve,0.0042,0.0169,0.0088,0.0127
155,buy,0.0318,0.1584,0.4758,0.1105
156,improve,0.0018,0.07,0.0116,0.0368
157,buy,-0.0009,0.1206,0.5127,0.0589
158,improve,-0.0176,0.024,0.009,-0.0056
159,buy,0.0068,0.1131,0.5767,0.0628
160,improve,-0.0862,0.3127,0.0094,0.0702
161,improve,-0.0035,0.1261,0.014,0.0595
162,buy,-0.0051,0.0788,0.5148,0.0338
163,improve,-0.0101,0.0942,0.0111,0.037
164,buy,0.015,0.112,0.3836,0.0706
165,improve,-0.0262,0.0521,0.0048,-0.0001
166,buy,0.0,0.1507,0.3727,0.075
167,improve,-0.0024,0.0462,0.0122,0.0207
168,improve,0.0015,0.0153,0.0106,0.0091
169,buy,0.007,0.1056,0.3922,0.0594
170,improve,-0.0028,0.1354,0.0091,0.0649
171,buy,0.056,0.1231,0.4157,0.1172
172,improve,-0.0075,0.0816,0.0144,0.0333
173,improve,0.0051,0.0082,0.0071,0.0092
174,buy,0.0399,0.106,0.3939,0.0925
175,improve,0.0004,0.0554,0.0113,0.0281
176,improve,-0.0096,0.01,0.0088,-0.0047
177,buy,0.0166,0.0918,0.3405,0.0622
178,improve,0.0097,0.1297,0.0053,0.0745
179,buy,-0.0113,0.2696,0.3021,0.1232
180,improve,0.0144,0.059,0.0077,0.0439
181,improve,-0.0036,0.0056,0.0078,-0.0008
182,buy,0.0098,0.1216,0.2999,0.0703
183,improve,-0.0021,0.073,0.0142,0.0343
184,improve,-0.0026,0.0134,0.0086,0.0041
185,buy,-0.0376,0.0573,0.2994,-0.0093
186,improve,-0.0048,0.0687,0.0091,0.0296
187,buy,0.013,0.1805,0.2814,0.103
188,improve,-0.0032,0.1015,0.016,0.0475
189,buy,-0.0159,0.2236,0.2698,0.0956
190,improve,-0.0015,0.0953,0.0104,0.0462
191,improve,0.0134,0.1841,0.0106,0.1054
192,buy,0.0027,0.1265,0.2595,0.0657
193,improve,-0.0017,0.1239,0.008,0.0603
