episode,winner,ppo_agent_reward,episode_length
217,Random,68.1349,500
218,Aggressive,43.1451,500
219,Aggressive,8.0304,266
220,Random,48.305,500
221,Conservative,11.4883,336
222,Aggressive,30.4737,500
223,Conservative,40.4163,500
224,Conservative,21.0808,284
225,Aggressive,12.0154,307
226,Random,792.5409,200
227,Aggressive,38.6934,500
228,Random,44.8122,500
229,ValueBuyer,39.0577,500
230,Random,72.5082,500
231,Aggressive,43.6449,500
232,Conservative,39.7711,500
233,Aggressive,18.4235,313
234,Conservative,34.8919,500
235,ValueBuyer,22.3729,332
236,Aggressive,10.6613,226
237,Random,434.1741,414
238,Conservative,25.3745,412
239,Conservative,53.7698,171
240,ValueBuyer,29.8323,500
241,Conservative,20.0171,312
242,ValueBuyer,27.8139,334
243,Conservative,40.1062,500
244,ValueBuyer,27.7263,345
245,Aggressive,37.1711,500
246,ValueBuyer,44.4866,500
247,ValueBuyer,16.7703,187
248,Random,53.105,500
249,Random,46.9117,500
250,Aggressive,42.3565,500
251,Aggressive,10.7222,234
252,ValueBuyer,37.6809,500
253,ValueBuyer,7.8214,135
254,Conservative,13.3989,277
255,ValueBuyer,36.4627,500
256,Aggressive,27.8572,312
257,Aggressive,17.5658,251
258,Conservative,12.6045,500
259,Conservative,17.7119,223
260,Aggressive,29.9324,500
261,Aggressive,38.1053,500
262,ValueBuyer,21.7692,221
263,Random,131.4731,363
264,Conservative,13.9698,349
265,ValueBuyer,27.8468,378
266,Random,131.0359,500
267,Aggressive,26.6034,500
268,Aggressive,31.0318,500
269,Conservative,35.432,500
270,Aggressive,39.9898,500
271,Aggressive,36.0682,500
272,Aggressive,39.9224,500
273,Conservative,22.2449,500
274,Aggressive,35.4819,500
275,Conservative,22.0222,500
276,Random,65.7967,500
277,Aggressive,33.8822,500
278,Conservative,49.7218,500
279,Conservative,18.4222,500
280,Aggressive,29.7735,500
281,Aggressive,35.3123,500
282,ValueBuyer,12.896,500
283,Conservative,42.6319,500
284,ValueBuyer,40.8153,500
285,Conservative,11.1973,333
286,Aggressive,13.4604,200
287,Aggressive,30.8306,500
288,Aggressive,18.4499,497
289,Aggressive,27.1497,436
290,Aggressive,38.8711,500
291,Conservative,27.6042,500
292,Aggressive,7.8362,347
293,Aggressive,26.9077,500
294,ValueBuyer,11.573,282
295,Random,104.5089,254
296,ValueBuyer,9.9938,202
297,Aggressive,7.6938,140
298,Conservative,16.8911,308
299,Aggressive,42.1833,500
300,ValueBuyer,25.119,287
301,Aggressive,10.0645,299
302,ValueBuyer,15.8505,191
303,Aggressive,15.446,214
304,Random,49.7243,500
305,Conservative,26.1084,500
306,Random,206.8901,401
307,ValueBuyer,36.1691,500
308,Random,190.0796,303
309,Conservative,24.5077,500
310,Aggressive,33.7212,500
311,ValueBuyer,44.4421,500
312,ValueBuyer,18.918,271
313,Random,238.0808,261
314,Aggressive,30.8989,500
315,ValueBuyer,4.8984,202
316,Random,50.7166,500
317,Aggressive,36.4259,500
318,Conservative,38.159,500
319,Aggressive,37.7778,500
320,Aggressive,12.7756,224
321,Conservative,39.1401,500
322,Conservative,23.8204,278
323,ValueBuyer,14.4799,452
324,Aggressive,21.164,397
325,Random,112.0538,289
326,Aggressive,37.3994,500
327,Aggressive,12.0044,141
328,Aggressive,37.7833,500
329,Aggressive,22.1381,500
330,ValueBuyer,33.664,500
331,ValueBuyer,11.022,280
332,Aggressive,15.7811,221
333,Random,51.4755,500
334,Aggressive,14.0318,278
335,Conservative,36.3698,500
336,Aggressive,31.8466,500
337,Conservative,42.0094,500
338,Random,69.084,271
339,Random,66.3226,318
340,Aggressive,31.6224,500
341,Aggressive,35.0326,500
342,ValueBuyer,26.5368,500
343,ValueBuyer,39.1028,500
344,ValueBuyer,35.5228,500
345,Conservative,87.6457,500
346,ValueBuyer,19.0776,308
347,Aggressive,16.7611,500
348,Aggressive,17.4488,174
349,Aggressive,49.063,500
350,Random,56.2579,500
351,Aggressive,32.2237,414
352,ValueBuyer,16.3926,421
353,Aggressive,42.3385,500
354,ValueBuyer,13.7827,236
355,ValueBuyer,9.5207,225
356,Aggressive,33.5038,500
357,Conservative,34.247,500
