update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
126,buy,-0.0005,0.4148,0.1706,0.2068
127,improve,0.0042,0.1874,0.0246,0.0979
128,buy,-0.0008,0.1909,0.1418,0.0945
129,improve,-0.0004,0.9143,0.0132,0.4568
130,buy,0.0026,0.1764,0.1297,0.0907
131,improve,-0.0102,0.385,0.0147,0.1823
132,improve,0.036,0.1149,0.0114,0.0935
133,improve,0.0118,0.1578,0.0147,0.0906
134,buy,-0.0775,0.2467,0.1436,0.0457
135,improve,-0.0001,0.1095,0.0192,0.0546
136,buy,0.1331,0.3524,0.1556,0.3092
137,improve,0.0003,0.0757,0.0128,0.0381
138,improve,-0.0024,0.0387,0.0087,0.017
139,improve,0.0003,0.0401,0.0159,0.0203
140,improve,0.0074,0.0134,0.0144,0.0141
141,buy,-0.0126,0.253,0.1708,0.1137
142,improve,0.0499,0.3671,0.0251,0.2335
143,buy,0.0604,0.1774,0.1662,0.1489
144,improve,0.0125,0.1389,0.0134,0.0819
145,buy,-0.0051,0.2951,0.176,0.1422
146,improve,-0.0868,0.0239,0.0199,-0.0749
147,improve,0.04,0.0409,0.0175,0.0604
148,improve,0.0514,0.0602,0.0131,0.0815
149,buy,0.0613,0.3404,0.1607,0.2314
150,improve,0.0032,0.0415,0.0143,0.0239
151,improve,0.0008,0.1407,0.0181,0.0711
152,buy,-0.0533,0.2543,0.17,0.0737
153,improve,0.022,0.2255,0.0248,0.1347
154,buy,-0.0197,0.3843,0.1579,0.1723
155,improve,0.0007,0.1707,0.0169,0.086
156,buy,0.1073,0.1974,0.1874,0.2058
157,improve,0.0054,0.2039,0.0173,0.1073
158,buy,0.0267,0.3059,0.1943,0.1794
159,improve,0.0017,0.1206,0.0235,0.062
160,buy,0.0476,0.1981,0.1765,0.1465
161,improve,0.0005,0.3426,0.0129,0.1718
162,buy,0.025,0.3195,0.2167,0.1845
163,improve,0.0059,0.1159,0.0182,0.0638
164,buy,0.0105,0.3513,0.2106,0.1859
165,improve,0.0155,0.0129,0.014,0.0219
166,buy,-0.0518,0.2946,0.228,0.0952
167,improve,-0.001,0.2919,0.0098,0.1449
168,buy,0.0302,0.2799,0.2209,0.1699
169,buy,-0.0204,0.2553,0.2746,0.107
170,improve,-0.0248,0.2367,0.0149,0.0935
171,buy,0.0992,0.2077,0.338,0.2027
172,improve,0.0111,0.1427,0.0171,0.0825
173,buy,0.0111,0.2498,0.313,0.1357
174,improve,-0.0076,0.0713,0.0198,0.0281
175,buy,-0.0151,0.236,0.2612,0.1026
176,improve,-0.0389,0.1024,0.0121,0.0123
177,buy,0.0111,0.2654,0.2322,0.1436
178,improve,-0.0,0.0717,0.0113,0.0358
179,improve,-0.0033,0.0234,0.0109,0.0084
180,buy,0.0004,0.1492,0.2394,0.0748
181,improve,-0.0004,0.3242,0.0103,0.1616
182,buy,0.0567,0.4483,0.2021,0.2806
183,improve,-0.0059,0.0298,0.0081,0.009
184,improve,0.0004,0.0256,0.008,0.0132
185,improve,0.0,0.0518,0.0116,0.0259
186,buy,-0.0083,0.2992,0.1897,0.1411
187,improve,-0.0099,0.0834,0.0083,0.0318
188,buy,0.0027,0.29,0.2025,0.1475
