episode,winner,ppo_agent_reward,episode_length
225,ValueBuyer,2.35,500
226,Aggressive,2.35,500
227,ValueBuyer,2.6,500
228,ValueBuyer,2.6,500
229,Aggressive,2.3,500
230,ValueBuyer,2.45,500
231,Conservative,0.1,235
232,Aggressive,2.3,500
233,ValueBuyer,2.4,500
234,Aggressive,2.3,500
235,Aggressive,2.15,500
236,Aggressive,-0.45,208
237,ValueBuyer,2.2,500
238,Conservative,-0.2,160
239,Aggressive,1.95,500
240,Aggressive,1.95,500
241,ValueBuyer,2.3,500
242,Conservative,0.2,281
243,Aggressive,0.1,189
244,Aggressive,-0.7,65
245,Aggressive,0.3,324
246,Aggressive,2.35,500
247,ValueBuyer,2.35,500
248,ValueBuyer,2.15,356
249,Aggressive,2.2,500
250,Aggressive,0.35,280
251,Conservative,2.1,500
252,Aggressive,-0.35,155
253,ValueBuyer,2.4,500
254,Conservative,1.9,500
255,Aggressive,2.3,500
256,Random,2.2,500
257,Aggressive,2.15,500
258,ValueBuyer,1.55,259
259,Aggressive,2.15,500
260,ValueBuyer,2.1,500
261,Conservative,2.15,500
262,Conservative,2.2,500
263,ValueBuyer,2.3,500
264,Conservative,2.2,500
265,Random,2.0,500
266,Conservative,-0.25,172
267,Aggressive,2.25,500
268,Aggressive,1.85,500
269,Random,1.9,500
270,Aggressive,2.25,500
271,Aggressive,2.25,500
272,Aggressive,2.25,500
273,Aggressive,1.8,500
274,ValueBuyer,2.05,469
275,Aggressive,0.95,485
276,ValueBuyer,2.65,500
277,ValueBuyer,2.6,481
278,Random,2.15,500
279,Conservative,1.95,500
280,ValueBuyer,2.25,500
281,Aggressive,1.9,500
282,ValueBuyer,2.3,500
283,Aggressive,2.25,500
284,Random,2.0,500
285,Aggressive,2.25,500
286,Aggressive,2.4,500
287,Conservative,0.55,332
288,ValueBuyer,2.65,500
289,ValueBuyer,2.3,500
290,Random,2.25,500
291,Aggressive,2.4,500
292,Conservative,-0.45,214
293,Conservative,0.4,270
294,ValueBuyer,2.35,500
295,ValueBuyer,2.4,500
296,ValueBuyer,2.75,500
297,Conservative,2.35,500
298,ValueBuyer,2.05,322
299,Conservative,2.2,500
300,ValueBuyer,2.4,500
301,Conservative,0.7,295
302,Aggressive,-0.3,156
303,Conservative,-0.3,215
304,Aggressive,2.25,500
305,Aggressive,2.15,500
306,Aggressive,2.15,500
307,Aggressive,1.8,500
308,ValueBuyer,2.55,500
309,Conservative,1.15,454
310,Aggressive,2.25,500
311,Conservative,2.2,500
312,ValueBuyer,2.6,500
313,ValueBuyer,2.6,500
314,ValueBuyer,2.3,438
315,Conservative,2.4,500
316,ValueBuyer,2.9,500
317,ValueBuyer,1.65,399
318,Conservative,0.5,288
319,Aggressive,1.85,500
320,Aggressive,0.05,264
321,Conservative,0.2,248
322,ValueBuyer,2.15,500
323,Aggressive,-0.3,159
324,ValueBuyer,2.2,336
325,Conservative,0.85,500
326,Conservative,2.8,500
327,ValueBuyer,2.5,500
328,Aggressive,2.2,500
329,ValueBuyer,2.15,500
330,ValueBuyer,2.3,500
331,Aggressive,0.2,228
332,Conservative,0.8,358
333,Random,0.9,335
334,Aggressive,0.0,213
335,Aggressive,2.55,500
336,Aggressive,1.75,500
337,Aggressive,-0.05,500
338,ValueBuyer,2.45,487
339,Random,2.0,500
340,ValueBuyer,2.1,500
341,ValueBuyer,2.5,497
342,ValueBuyer,2.25,500
343,Conservative,2.15,500
344,Aggressive,0.4,250
345,Random,2.25,500
346,ValueBuyer,2.25,500
347,Aggressive,-0.5,126
348,Aggressive,0.1,173
349,Conservative,2.35,500
350,Aggressive,2.25,500
351,Aggressive,2.15,500
352,Conservative,2.05,500
353,Aggressive,2.05,500
354,ValueBuyer,1.8,355
355,Aggressive,-0.25,218
356,ValueBuyer,2.65,500
357,ValueBuyer,2.7,500
358,Random,-0.15,500
359,ValueBuyer,2.55,500
360,Conservative,2.2,500
361,Random,2.5,500
362,Random,-0.6,210
363,Aggressive,0.0,201
364,Conservative,2.25,500
365,Aggressive,2.05,500
366,Aggressive,2.7,500
367,Aggressive,2.2,500
368,Aggressive,2.25,500
369,Random,3.1,500
