update_step,decision_type,policy_loss,value_loss,entropy_loss,total_loss
126,improve,0.0033,0.01,0.0152,0.0083
127,buy,-0.0067,0.1517,0.1228,0.069
128,improve,0.0245,0.059,0.0161,0.054
129,buy,0.0004,0.2311,0.1193,0.1158
130,improve,0.0495,0.0044,0.0081,0.0517
131,buy,-0.0002,0.1037,0.1303,0.0515
132,improve,-0.0035,0.0186,0.02,0.0058
133,buy,0.0265,0.1237,0.1071,0.0883
134,improve,0.0002,0.0234,0.0162,0.0118
135,buy,0.0002,0.1908,0.1506,0.0955
136,improve,0.006,0.0164,0.0285,0.0142
137,buy,0.0118,0.1506,0.1602,0.087
138,improve,0.0054,0.0413,0.0392,0.026
139,buy,0.1784,0.2057,0.1559,0.2811
140,improve,-0.0012,0.0141,0.0137,0.0058
141,buy,-0.0237,0.1795,0.1782,0.0659
142,improve,0.0048,0.0701,0.0113,0.0398
143,buy,-0.0141,0.1697,0.1795,0.0706
144,improve,-0.0058,0.0511,0.028,0.0197
145,buy,0.0155,0.19,0.2112,0.1103
146,buy,0.2201,0.1372,0.2062,0.2885
147,improve,-0.0083,0.0638,0.0081,0.0236
148,buy,0.0158,0.1506,0.2313,0.0909
149,improve,-0.0078,0.0821,0.0297,0.0332
150,buy,0.0345,0.1541,0.2322,0.1113
151,improve,0.0044,0.0364,0.0118,0.0226
152,improve,0.0002,0.0148,0.0143,0.0076
153,buy,0.0051,0.1666,0.2037,0.0882
154,improve,0.0047,0.0943,0.0106,0.0518
155,improve,-0.0072,0.0143,0.0072,-0.0001
156,buy,0.0227,0.147,0.1944,0.096
157,improve,0.0014,0.0701,0.0133,0.0364
158,buy,0.0131,0.2714,0.1655,0.1486
159,improve,-0.0024,0.0368,0.0095,0.016
160,improve,-0.0034,0.1062,0.0152,0.0497
161,buy,0.0368,0.2342,0.1765,0.1537
162,improve,0.01,0.0558,0.0094,0.0378
163,improve,-0.0271,0.0555,0.0173,0.0007
164,buy,-0.0,0.2078,0.1854,0.1037
165,improve,-0.0008,0.0276,0.0095,0.013
166,improve,-0.025,0.0254,0.0093,-0.0123
167,buy,-0.018,0.1335,0.2178,0.0485
168,improve,0.005,0.0716,0.0131,0.0408
169,buy,0.0043,0.2683,0.2107,0.1382
170,improve,0.006,0.0383,0.0068,0.0251
171,improve,0.021,0.1863,0.0053,0.1142
172,improve,-0.0079,0.0196,0.0098,0.0019
173,buy,0.0725,0.2278,0.1911,0.1862
174,improve,0.0164,0.0618,0.0116,0.0473
175,improve,-0.0146,0.0085,0.0058,-0.0103
176,improve,-0.0072,0.0097,0.0057,-0.0023
177,buy,-0.0266,0.127,0.1832,0.0367
178,improve,0.0438,0.0477,0.0075,0.0676
179,improve,0.0319,0.0394,0.0064,0.0516
180,improve,0.066,0.0096,0.0112,0.0708
181,buy,0.0099,0.1447,0.2119,0.0821
182,improve,-0.0587,0.0529,0.0075,-0.0322
183,buy,0.0042,0.253,0.2006,0.1305
184,improve,0.0005,0.037,0.0082,0.019
185,improve,0.0011,0.0089,0.0114,0.0055
186,buy,-0.11,0.2425,0.2006,0.0111
187,improve,-0.0012,0.0938,0.0062,0.0457
188,buy,0.1139,0.1868,0.2254,0.2071
189,improve,0.0009,0.0736,0.0082,0.0377
190,buy,0.0295,0.2017,0.2587,0.1301
191,improve,0.0084,0.0825,0.0247,0.0496
192,improve,0.0131,0.0107,0.0122,0.0184
193,buy,-0.0094,0.1177,0.2894,0.0492
194,improve,0.0078,0.0416,0.0099,0.0286
195,improve,-0.0065,0.0103,0.0094,-0.0014
196,buy,0.0158,0.1294,0.2245,0.0803
197,improve,-0.0077,0.1315,0.0069,0.058
198,improve,0.0039,0.016,0.0122,0.0118
199,improve,-0.0045,0.0337,0.0105,0.0123
200,buy,0.1246,0.1306,0.3006,0.1896
201,improve,0.0097,0.0297,0.02,0.0245
202,improve,-0.0189,0.0067,0.0093,-0.0156
203,buy,-0.0005,0.1315,0.2999,0.0649
204,improve,-0.0095,0.0343,0.0072,0.0077
205,improve,0.0002,0.0078,0.0107,0.0041
206,buy,-0.0458,0.1537,0.4549,0.0306
207,improve,0.0025,0.1136,0.0161,0.0593
208,buy,0.0419,0.0833,0.4936,0.0831
209,improve,-0.0146,0.006,0.0091,-0.0116
210,buy,-0.0561,0.1527,0.5547,0.0197
211,improve,-0.0026,0.0768,0.0119,0.0358
212,improve,-0.0011,0.0579,0.0262,0.0278
213,buy,-0.0026,0.0726,0.5962,0.0331
214,improve,-0.0116,0.1621,0.0283,0.0694
215,buy,0.0069,0.0762,0.5099,0.0445
216,improve,-0.0384,0.0182,0.0086,-0.0294
217,buy,-0.0164,0.1091,0.3888,0.0378
218,improve,-0.1034,0.0506,0.0096,-0.0781
219,improve,-0.0085,0.0119,0.0075,-0.0026
220,buy,-0.0303,0.1739,0.2974,0.0563
221,improve,0.0003,0.0805,0.0068,0.0405
222,buy,0.0197,0.1916,0.3301,0.1151
223,improve,-0.001,0.0893,0.0046,0.0436
224,improve,-0.0559,0.0325,0.0158,-0.0397
225,buy,-0.0158,0.1106,0.3463,0.0392
226,improve,0.0214,0.1335,0.0107,0.0881
227,improve,0.0014,0.0109,0.009,0.0069
228,buy,-0.0772,0.0938,0.3858,-0.0306
229,improve,0.0018,0.0436,0.0173,0.0236
230,improve,0.0016,0.0448,0.0066,0.024
231,buy,-0.2033,0.1755,0.359,-0.116
232,improve,-0.0044,0.0899,0.0079,0.0405
233,buy,0.0027,0.2164,0.3457,0.1106
234,improve,-0.0265,0.0388,0.0135,-0.0071
235,buy,0.0039,0.0994,0.3544,0.0533
236,improve,0.0211,0.1832,0.0319,0.1126
237,improve,0.0003,0.0143,0.017,0.0074
238,improve,0.0044,0.0173,0.0031,0.013
239,improve,-0.0187,0.0094,0.0114,-0.014
240,buy,0.0275,0.117,0.3205,0.0856
241,improve,-0.0767,0.071,0.0068,-0.0412
242,buy,0.2804,0.1423,0.3079,0.3512
243,improve,0.0058,0.0282,0.0066,0.0199
244,buy,0.0119,0.2345,0.3137,0.1288
245,improve,0.0457,0.2925,0.0055,0.1919
246,improve,0.0327,0.078,0.0123,0.0716
247,improve,-0.0003,0.0584,0.0115,0.0289
248,improve,-0.0053,0.0136,0.0096,0.0015
249,improve,-0.0003,0.0331,0.01,0.0163
250,buy,0.0016,0.176,0.3009,0.0893
251,improve,-0.0033,0.0357,0.0119,0.0145
252,improve,0.0319,0.0392,0.0085,0.0515
253,buy,-0.0487,0.1323,0.2634,0.0172
254,improve,-0.0114,0.1066,0.0139,0.0419
255,improve,0.0445,0.0137,0.0112,0.0514
256,improve,0.0,0.0092,0.0138,0.0046
257,improve,0.0125,0.0079,0.011,0.0164
258,buy,0.0085,0.1685,0.2268,0.0925
259,improve,0.0312,0.0819,0.0105,0.0722
260,buy,0.0196,0.1955,0.216,0.1171
261,improve,0.0374,0.0226,0.0121,0.0487
262,buy,-0.0012,0.1603,0.2256,0.0787
263,improve,0.0026,0.0246,0.0077,0.0149
264,improve,0.0298,0.0063,0.0078,0.033
265,buy,-0.0069,0.142,0.2266,0.0639
266,improve,0.0076,0.0906,0.0066,0.0529
267,improve,-0.0246,0.0254,0.0139,-0.0119
268,improve,-0.0168,0.0347,0.0046,0.0005
269,buy,0.019,0.124,0.2053,0.0808
270,improve,-0.0004,0.0498,0.0133,0.0245
271,buy,-0.0346,0.1214,0.1847,0.0259
272,improve,-0.007,0.0171,0.0101,0.0015
273,buy,-0.0017,0.1815,0.2064,0.0888
274,improve,-0.0076,0.0602,0.0112,0.0224
275,buy,-0.2711,0.1787,0.2471,-0.182
276,improve,-0.0019,0.0465,0.0092,0.0213
277,improve,0.0014,0.0068,0.005,0.0048
278,improve,0.0046,0.009,0.0035,0.0091
279,buy,-0.006,0.2245,0.2443,0.106
280,improve,0.0045,0.1132,0.0077,0.0611
281,improve,-0.0168,0.0052,0.0047,-0.0142
282,buy,0.0057,0.1166,0.2509,0.0638
283,improve,0.0017,0.0729,0.0114,0.0382
284,improve,0.0267,0.0082,0.0068,0.0308
285,improve,-0.0005,0.0093,0.0045,0.0041
286,buy,-0.0127,0.1502,0.2502,0.0622
287,improve,0.0236,0.0604,0.0043,0.0538
288,buy,0.0378,0.1638,0.3361,0.1193
289,improve,-0.0008,0.0155,0.0042,0.007
290,improve,0.0017,0.006,0.0045,0.0047
291,improve,-0.0011,0.0249,0.0052,0.0114
292,improve,-0.0359,0.0107,0.0063,-0.0306
293,improve,-0.1066,0.0316,0.004,-0.0908
294,improve,-0.0204,0.0111,0.0053,-0.0149
295,improve,-0.0253,0.0153,0.003,-0.0176
296,improve,-0.0036,0.0514,0.0129,0.0221
297,buy,-0.0322,0.1026,0.415,0.0187
298,improve,-0.0355,0.0661,0.0044,-0.0025
299,improve,0.0028,0.0143,0.007,0.0099
300,improve,0.0437,0.0033,0.0046,0.0454
301,buy,-0.0525,0.1429,0.4859,0.0185
302,improve,-0.0034,0.0466,0.006,0.0199
303,buy,-0.0898,0.1153,0.5057,-0.0326
304,improve,0.0078,0.0484,0.0019,0.032
305,improve,0.0021,0.006,0.003,0.0051
306,buy,-0.0037,0.1525,0.4762,0.0721
307,improve,-0.0,0.1196,0.0078,0.0598
308,buy,-0.0027,0.2169,0.367,0.1054
309,improve,-0.0,0.1,0.0081,0.05
310,buy,-0.0515,0.067,0.398,-0.0184
311,improve,0.0013,0.0118,0.0035,0.0072
312,improve,-0.0645,0.012,0.0055,-0.0585
313,buy,0.1382,0.206,0.3368,0.2409
314,improve,-0.0001,0.0281,0.003,0.014
315,improve,0.0056,0.0063,0.0026,0.0088
316,improve,-0.0126,0.0042,0.0065,-0.0105
317,buy,-0.0972,0.2823,0.308,0.0437
318,improve,0.0097,0.0486,0.0025,0.034
319,buy,0.0042,0.2405,0.2801,0.1241
320,improve,0.0191,0.0224,0.0062,0.0303
321,improve,0.0014,0.0515,0.0033,0.0271
322,buy,-0.0085,0.2151,0.244,0.0989
323,improve,-0.0347,0.1005,0.0078,0.0155
324,improve,-0.0049,0.0115,0.0033,0.0008
325,improve,0.0058,0.0079,0.0049,0.0097
326,buy,0.0003,0.1665,0.1569,0.0834
327,improve,0.0016,0.0549,0.0046,0.029
328,buy,0.02,0.1814,0.158,0.1106
329,improve,-0.0028,0.0219,0.0043,0.0081
330,improve,0.002,0.0434,0.0052,0.0237
331,buy,-0.0949,0.1201,0.147,-0.035
332,improve,0.0021,0.3226,0.0017,0.1634
333,improve,-0.0035,0.0169,0.0033,0.005
334,buy,-0.0523,0.1495,0.1516,0.0223
335,improve,-0.0017,0.1902,0.0062,0.0934
336,buy,0.0096,0.2911,0.1537,0.155
337,improve,-0.0266,0.0667,0.0055,0.0067
338,improve,-0.0959,0.1037,0.0063,-0.0441
339,buy,0.0063,0.1695,0.1716,0.0909
340,improve,0.0066,0.0311,0.0055,0.0222
341,improve,0.0319,0.0615,0.0048,0.0626
342,improve,-0.0425,0.0518,0.0036,-0.0166
343,improve,0.0265,0.0348,0.0038,0.0439
