episode,winner,ppo_agent_reward,episode_length
215,ValueBuyer,14.7455,328
216,Random,27.3355,463
217,ValueBuyer,7.6918,234
218,Conservative,36.695,500
219,ValueBuyer,15.0158,208
220,ValueBuyer,11.2139,500
221,Aggressive,209.9397,307
222,Conservative,16.898,374
223,ValueBuyer,14.8604,180
224,Random,28.9152,500
225,ValueBuyer,13.5913,203
226,Conservative,27.3284,500
227,ValueBuyer,6.6241,163
228,Conservative,27.8702,467
229,Conservative,27.6992,500
230,Conservative,9.6903,341
231,Conservative,31.3901,500
232,ValueBuyer,11.046,195
233,ValueBuyer,17.1737,195
234,Conservative,43.133,360
235,Conservative,21.5235,369
236,Conservative,38.4032,500
237,ValueBuyer,14.2623,482
238,ValueBuyer,27.1008,407
239,Random,39.1676,500
240,Random,16.1715,316
241,Random,41.3541,500
242,Conservative,29.6859,500
243,Conservative,14.762,273
244,Conservative,17.8817,401
245,Aggressive,75.1325,500
246,ValueBuyer,42.7192,500
247,Random,11.754,198
248,Conservative,21.179,500
249,Conservative,39.1762,500
250,Random,34.9854,500
251,Conservative,27.7468,500
252,ValueBuyer,43.0675,500
253,Aggressive,45.7543,196
254,Conservative,34.9478,500
255,Conservative,30.9023,500
256,Random,24.5907,500
257,Random,23.6726,500
258,Conservative,26.5259,500
259,ValueBuyer,17.8801,224
260,Conservative,21.8451,421
261,Random,33.5687,500
262,Conservative,35.8101,500
263,Aggressive,125.5185,260
264,Conservative,32.7411,500
265,Random,35.2575,500
266,Conservative,20.745,258
267,Conservative,20.0468,313
268,Conservative,35.773,500
269,Conservative,27.4307,500
270,ValueBuyer,18.4716,191
271,ValueBuyer,41.0667,500
272,Aggressive,66.253,500
273,Conservative,21.5182,230
274,ValueBuyer,26.7247,420
275,Aggressive,113.5164,371
276,ValueBuyer,39.2252,500
277,Random,40.6404,500
278,Conservative,26.9122,500
279,Conservative,38.3108,500
280,Conservative,42.3567,477
281,Random,49.4983,500
282,ValueBuyer,18.8196,393
283,ValueBuyer,40.096,500
284,Aggressive,49.0225,500
285,Conservative,19.7735,221
286,Conservative,25.3107,500
287,ValueBuyer,29.3739,343
288,Conservative,25.7056,500
289,Conservative,26.5474,276
290,Aggressive,135.177,287
291,Conservative,45.9508,500
292,Random,34.5911,500
293,Conservative,30.2969,349
294,ValueBuyer,49.7644,500
295,ValueBuyer,46.7006,500
296,Conservative,18.4629,327
297,Conservative,39.4557,500
298,ValueBuyer,33.6839,500
299,ValueBuyer,12.6931,156
300,Conservative,11.5745,500
301,Conservative,16.6452,333
302,Aggressive,70.0858,500
303,Conservative,26.1768,343
304,Random,25.8484,500
305,Conservative,35.0862,500
306,ValueBuyer,34.7044,500
307,Conservative,39.0943,500
308,ValueBuyer,21.6285,500
309,ValueBuyer,19.244,215
310,Random,23.6645,500
311,Conservative,18.1681,322
312,Random,28.3447,500
313,Aggressive,127.6385,500
314,Conservative,13.6659,299
315,Conservative,19.9012,251
316,ValueBuyer,22.3326,357
317,Aggressive,58.1466,500
